task_id,input_size,memory_adapted,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,623266,-,hu-worker-c25,39/330398,nf-393303984a9e1661ea255e10ea90ce97,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800655185,1716800636000,1716800640000,-15185,2368,-,1423.0,0.0,32706560,39149568,32854016,39280640,243224964,5227428,90382,2809,45056,7004160,442,23,/input/data/work/39/3303984a9e1661ea255e10ea90ce97,true,-
1,623266,-,hu-worker-c24,f8/12c619,nf-f812c619a425843341900c273f597df2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800655245,1716800642000,1716800644000,-11245,1684,-,1080.1,0.0,29220864,34893824,29376512,35053568,240933745,4417839,87602,2550,221184,6148096,381,13,/input/data/work/f8/12c619a425843341900c273f597df2,true,-
20,3334340824,-,hu-worker-c42,aa/bb4f25,nf-aabb4f2582897a5a7e376bca2c05f3ca,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19870728_20201014_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19870728_20201014_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800664115,1716800645000,1716800646000,-18115,145,-,71.5,0.0,2969600,4079616,2973696,4128768,476834,29091,903,35,4198400,49152,3,0,/input/data/work/aa/bb4f2582897a5a7e376bca2c05f3ca,true,-
25,3314957815,-,hu-worker-c28,b0/7e3b2e,nf-b07e3b2e02a647f6d88734ee0e0587e0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19870914_20201014_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19870914_20201014_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800664671,1716800646000,1716800646000,-18671,236,-,49.5,0.0,2953216,4079616,2961408,4128768,477476,29086,903,35,25223168,49152,9,0,/input/data/work/b0/7e3b2e02a647f6d88734ee0e0587e0,true,-
23,3417443860,-,hu-worker-c24,20/d2b183,nf-20d2b18308794cd3e87c72e2554539a2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19920420_20200914_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19920420_20200914_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800664771,1716800644000,1716800644000,-20771,145,-,66.0,0.0,3059712,4079616,3063808,4128768,477288,29071,903,35,4198400,49152,3,2,/input/data/work/20/d2b18308794cd3e87c72e2554539a2,true,-
12,3329867673,-,hu-worker-c25,97/479979,nf-97479979afcf1b37bfcf64fc1e46c5cb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900618_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900618_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800665173,1716800646000,1716800647000,-18173,142,-,73.2,0.0,3072000,4079616,3076096,4128768,478049,29075,903,35,0,49152,2,2,/input/data/work/97/479979afcf1b37bfcf64fc1e46c5cb,true,-
4,3346240423,-,hu-worker-c41,40/5b77f6,nf-405b77f61a358cc9accf68d8ad5a01ec,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010429_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010429_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800665307,1716800666000,1716800666000,693,296,-,48.5,0.0,4997120,65478656,5005312,65527808,477211,29084,903,35,58912768,49152,84,0,/input/data/work/40/5b77f61a358cc9accf68d8ad5a01ec,true,-
22,3363124219,-,hu-worker-c42,97/599d00,nf-97599d00023985591eae55afe6eff850,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19851127_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19851127_20200918_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800665574,1716800646000,1716800646000,-19574,126,-,79.6,0.0,2998272,4079616,3002368,4128768,476833,29091,903,35,0,49152,3,0,/input/data/work/97/599d00023985591eae55afe6eff850,true,-
15,3319357306,-,hu-worker-c28,e2/627edb,nf-e2627edb7ae339bbe11f627fdf4c2fd6,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19931219_20200913_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19931219_20200913_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800665754,1716800646000,1716800646000,-19754,123,-,83.4,0.0,2920448,4079616,2928640,4128768,477450,29068,903,35,4943872,49152,4,0,/input/data/work/e2/627edb7ae339bbe11f627fdf4c2fd6,true,-
5,3358340034,-,hu-worker-c24,8c/bfd607,nf-8cbfd6074fed5a7578a6955ae8c45497,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980710_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980710_20200909_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1716800665848,1716800645000,1716800645000,-20848,123,-,82.4,0.0,3121152,4079616,3125248,4128768,477288,29071,903,35,0,49152,4,0,/input/data/work/8c/bfd6074fed5a7578a6955ae8c45497,true,-
