task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,623266,hu-worker-c34,9a/c5b37b,nf-9ac5b37b3c995d070f9b704079d1a88a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065444359,1722065403000,1722065406000,-38359,2198,-,1481.2,0.0,32456704,39153664,32600064,39301120,243285182,5211042,90397,2805,0,6979584,393,24,/input/data/work/9a/c5b37b3c995d070f9b704079d1a88a,true,-
1,623266,hu-worker-c25,00/30d01c,nf-0030d01c850d3f5860327e0425802374,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065444417,1722065401000,1722065404000,-40417,1580,-,1073.6,0.0,26099712,30851072,26251264,30900224,240937269,4442406,87602,2556,0,6184960,409,16,/input/data/work/00/30d01c850d3f5860327e0425802374,true,-
3,3402085619,hu-worker-c25,5b/a6e45d,nf-5ba6e45d0db52be31c9f637f6530541a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19891021_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19891021_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065453840,1722065411000,1722065411000,-42840,148,-,58.4,0.0,2990080,4079616,2998272,4128768,477455,29068,903,35,0,49152,3,0,/input/data/work/5b/a6e45d0db52be31c9f637f6530541a,true,-
7,3368440400,hu-worker-c25,e2/02e708,nf-e202e708c4e8dae5140b922b6e4552be,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010531_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010531_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065454068,1722065411000,1722065412000,-42068,147,-,65.2,0.0,3076096,4079616,3084288,4128768,477479,29086,903,35,0,49152,3,3,/input/data/work/e2/02e708c4e8dae5140b922b6e4552be,true,-
4,3346240423,hu-worker-c41,5a/b17ba4,nf-5ab17ba4b718a08ce2579c891da867b0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20010429_20200906_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20010429_20200906_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065454936,1722065455000,1722065455000,64,103,-,89.4,0.0,14659584,168202240,14667776,168251392,477560,29064,903,35,917504,49152,9,0,/input/data/work/5a/b17ba4b718a08ce2579c891da867b0,true,-
20,3334340824,hu-worker-c25,5a/8f18c6,nf-5a8f18c639f0983298a025cca0a9b129,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19870728_20201014_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19870728_20201014_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065455234,1722065411000,1722065411000,-44234,126,-,67.3,0.0,2928640,4079616,2936832,4128768,477454,29068,903,35,0,49152,3,0,/input/data/work/5a/8f18c639f0983298a025cca0a9b129,true,-
30,3328488817,hu-worker-c41,c3/e72a43,nf-c3e72a43079a7ceaf62c085338175f82,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970504_20211128_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970504_20211128_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065455902,1722065456000,1722065456000,98,98,-,115.3,0.0,15507456,168202240,15515648,168251392,477561,29065,903,35,0,49152,3,0,/input/data/work/c3/e72a43079a7ceaf62c085338175f82,true,-
19,3436271044,hu-worker-c41,7a/c45683,nf-7ac45683585776bcd8cb5e8314fa4081,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19901211_20200915_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19901211_20200915_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065456180,1722065456000,1722065457000,820,93,-,99.4,0.0,17936384,168214528,17944576,168263680,477560,29064,903,35,0,49152,3,1,/input/data/work/7a/c45683585776bcd8cb5e8314fa4081,true,-
21,3335640443,hu-worker-c25,87/34f219,nf-8734f21993fad5a1a05ff4bead5753d7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19991204_20200907_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19991204_20200907_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065456472,1722065412000,1722065412000,-44472,150,-,67.8,0.0,2981888,4079616,2990080,4128768,477454,29068,903,35,0,49152,3,1,/input/data/work/87/34f21993fad5a1a05ff4bead5753d7,true,-
34,3383118869,hu-worker-c42,06/cd22c0,nf-06cd22c05811ccd486a160ea41b37a32,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19990424_20200908_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19990424_20200908_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1722065456566,1722065413000,1722065413000,-43566,125,-,80.9,0.0,2924544,4079616,2932736,4128768,476593,29068,903,35,0,49152,7,6,/input/data/work/06/cd22c05811ccd486a160ea41b37a32,true,-
