task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
6049,114571088740,hu-worker-c25,84/13c9e9,nf-8413c9e977bc0d4cf62b7f4633c12df2,NFCORE_MAG:MAG:BUSCO_QC:BUSCO,SPAdes-MaxBin2-ERR275252.021.fa,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdes-MaxBin2-ERR275252.021.fa),COMPLETED,0,-,quay.io/biocontainers/busco:5.1.0--py_1,8,14400000,-,21474836480,1,1715655554294,1715655557000,1715655746000,191706,188849,-,653.1,1.8,3785203712,46328713216,4256792576,46767218688,3356378535,2326035053,492049,227457,0,2043412480,2864,680,/input/data/work/84/13c9e977bc0d4cf62b7f4633c12df2,true,-
5979,8126256,hu-worker-c41,91/724869,nf-91724869fed8be4a74a464c0106f36ee,NFCORE_MAG:MAG:PROKKA,SPAdes-MaxBin2-ERR275252.043,NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-ERR275252.043),COMPLETED,0,-,quay.io/biocontainers/prokka:1.14.6--pl526_0,2,14400000,-,12884901888,1,1715655218796,1715655241000,1715655748000,529204,506000,-,192.9,0.2,459853824,38109941760,459853824,38112264192,252692292991,237535495,61513212,93594,0,227971072,177228,884,/input/data/work/91/724869fed8be4a74a464c0106f36ee,true,-
5999,3330511,hu-worker-c34,55/fd7c99,nf-55fd7c99397ac4be6d0f815c69e06480,NFCORE_MAG:MAG:PROKKA,SPAdes-MaxBin2-ERR275252.019,NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-ERR275252.019),COMPLETED,0,-,quay.io/biocontainers/prokka:1.14.6--pl526_0,2,14400000,-,12884901888,1,1715655365175,1715655457000,1715655748000,382825,290000,-,188.9,0.0,201195520,591572992,269639680,696827904,99769562779,110844534,24281248,38672,0,110755840,49829,644,/input/data/work/55/fd7c99397ac4be6d0f815c69e06480,true,-
6009,2324967,hu-worker-c34,90/83ece7,nf-9083ece7c07f0fee5da9d4d80e7553c3,NFCORE_MAG:MAG:PROKKA,SPAdes-MaxBin2-ERR275252.004,NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-ERR275252.004),COMPLETED,0,-,quay.io/biocontainers/prokka:1.14.6--pl526_0,2,14400000,-,12884901888,1,1715655395607,1715655552000,1715655756000,360393,202000,-,184.3,0.0,191328256,547749888,257724416,680849408,44791507025,81290119,10899802,26925,0,84439040,17989,344,/input/data/work/90/83ece7c07f0fee5da9d4d80e7553c3,true,-
6039,114572033228,hu-worker-c42,62/9ba7f3,nf-629ba7f3427eb1362c4765c7c4bca1fb,NFCORE_MAG:MAG:BUSCO_QC:BUSCO,SPAdes-MaxBin2-ERR275252.046.fa,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdes-MaxBin2-ERR275252.046.fa),COMPLETED,0,-,quay.io/biocontainers/busco:5.1.0--py_1,8,14400000,-,21474836480,1,1715655529702,1715655531000,1715655751000,221298,219635,-,681.4,2.0,5119176704,46441660416,5596188672,46884302848,3813722157,2493100201,597226,252798,0,2193793024,3985,2214,/input/data/work/62/9ba7f3427eb1362c4765c7c4bca1fb,true,-
6053,114571134147,hu-worker-c34,7a/0d419f,nf-7a0d419fe77dc378dc7af4a3d496029e,NFCORE_MAG:MAG:BUSCO_QC:BUSCO,SPAdes-MaxBin2-ERR275252.036.fa,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdes-MaxBin2-ERR275252.036.fa),COMPLETED,0,-,quay.io/biocontainers/busco:5.1.0--py_1,8,14400000,-,21474836480,1,1715655573771,1715655592000,1715655757000,183229,164877,-,655.3,1.8,3717955584,46290444288,4171137024,46743875584,2792081376,2331330451,360412,178584,0,2059431936,2136,255,/input/data/work/7a/0d419fe77dc378dc7af4a3d496029e,true,-
5998,5044519,hu-worker-c27,79/d1b0bd,nf-79d1b0bd740261dc530a803595834e9c,NFCORE_MAG:MAG:PROKKA,SPAdes-MaxBin2-ERR275252.046,NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-ERR275252.046),COMPLETED,0,-,quay.io/biocontainers/prokka:1.14.6--pl526_0,2,14400000,-,12884901888,1,1715655365130,1715655370000,1715655758000,392870,387000,-,189.6,0.0,211562496,596140032,260644864,683032576,160140407034,160673744,38990686,64147,4198400,158597120,91978,3840,/input/data/work/79/d1b0bd740261dc530a803595834e9c,true,-
6002,4100031,hu-worker-c27,bc/0cd4f6,nf-bc0cd4f69a46a7b68238d1192c270756,NFCORE_MAG:MAG:PROKKA,SPAdes-MaxBin2-ERR275252.021,NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-ERR275252.021),COMPLETED,0,-,quay.io/biocontainers/prokka:1.14.6--pl526_0,2,14400000,-,12884901888,1,1715655365198,1715655419000,1715655762000,396802,342000,-,190.1,0.1,202231808,37967302656,268148736,38033461248,107791883345,129981919,26230001,45910,0,129175552,55450,3705,/input/data/work/bc/0cd4f69a46a7b68238d1192c270756,true,-
6004,4223696,hu-worker-c24,4e/e97b6c,nf-4ee97b6c116abd14e5a35240a460b6c0,NFCORE_MAG:MAG:PROKKA,SPAdes-MaxBin2-ERR275252.033,NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-ERR275252.033),COMPLETED,0,-,quay.io/biocontainers/prokka:1.14.6--pl526_0,2,14400000,-,12884901888,1,1715655365274,1715655381000,1715655760000,394726,378000,-,187.5,0.0,229990400,615129088,296857600,737800192,113908430058,133224384,27718388,46070,0,130990080,52016,1705,/input/data/work/4e/e97b6c116abd14e5a35240a460b6c0,true,-
6014,2414527,hu-worker-c42,34/02eded,nf-3402eded8713e2f643dcf2911ba40fba,NFCORE_MAG:MAG:PROKKA,SPAdes-MaxBin2-ERR275252.024,NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-ERR275252.024),COMPLETED,0,-,quay.io/biocontainers/prokka:1.14.6--pl526_0,2,14400000,-,12884901888,1,1715655407793,1715655546000,1715655762000,354207,215000,-,189.9,0.0,202313728,36395401216,258871296,36395405312,49618135182,84104002,12071798,28143,0,86802432,21015,1887,/input/data/work/34/02eded8713e2f643dcf2911ba40fba,true,-
6041,114571296538,hu-worker-c27,3b/dc28e7,nf-3bdc28e721cabbc3ecd09ba196ea4f4f,NFCORE_MAG:MAG:BUSCO_QC:BUSCO,SPAdes-MaxBin2-ERR275252.010.fa,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdes-MaxBin2-ERR275252.010.fa),COMPLETED,0,-,quay.io/biocontainers/busco:5.1.0--py_1,8,14400000,-,21474836480,1,1715655539837,1715655542000,1715655766000,226163,223766,-,623.9,2.5,6481829888,47342387200,6946836480,47875887104,3932014136,2387415590,624600,251748,0,2106322944,7491,582,/input/data/work/3b/dc28e721cabbc3ecd09ba196ea4f4f,true,-
6051,114571212405,hu-worker-c27,79/8e3587,nf-798e3587e4b0ed275ac0be0cbdaff836,NFCORE_MAG:MAG:BUSCO_QC:BUSCO,SPAdes-MaxBin2-ERR275252.033.fa,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdes-MaxBin2-ERR275252.033.fa),COMPLETED,0,-,quay.io/biocontainers/busco:5.1.0--py_1,8,14400000,-,21474836480,1,1715655563981,1715655567000,1715655784000,220019,216677,-,660.7,4.0,10520268800,51379675136,10992799744,51918020608,3414807519,2377085159,503928,224906,0,2094723072,2630,877,/input/data/work/79/8e3587e4b0ed275ac0be0cbdaff836,true,-
6000,4307829,hu-worker-c25,b5/77032e,nf-b577032e6bdec0e19c98c5e3f43d69bc,NFCORE_MAG:MAG:PROKKA,SPAdes-MaxBin2-ERR275252.010,NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-ERR275252.010),COMPLETED,0,-,quay.io/biocontainers/prokka:1.14.6--pl526_0,2,14400000,-,12884901888,1,1715655365152,1715655377000,1715655778000,412848,400000,-,186.5,0.1,200204288,37760372736,264638464,37762170880,101400674213,132568130,24676711,43054,4194304,129511424,49789,1366,/input/data/work/b5/77032e6bdec0e19c98c5e3f43d69bc,true,-
6035,114575114965,hu-worker-c25,34/1c3159,nf-341c3159cf6da9d6a61e522432851251,NFCORE_MAG:MAG:BUSCO_QC:BUSCO,SPAdes-MaxBin2-ERR275252.043.fa,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdes-MaxBin2-ERR275252.043.fa),COMPLETED,0,-,quay.io/biocontainers/busco:5.1.0--py_1,8,14400000,-,21474836480,1,1715655515221,1715655519000,1715655788000,272779,268279,-,680.6,1.8,4180553728,46658699264,4631777280,47110254592,4760885947,2948641861,803714,295496,4194304,2623873024,1666,1180,/input/data/work/34/1c3159cf6da9d6a61e522432851251,true,-
6038,114572716947,hu-worker-c42,42/66f689,nf-4266f689647668d4d23116cccfd9e1ed,NFCORE_MAG:MAG:BUSCO_QC:BUSCO,SPAdes-MaxBin2-ERR275252.045.fa,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdes-MaxBin2-ERR275252.045.fa),COMPLETED,0,-,quay.io/biocontainers/busco:5.1.0--py_1,8,14400000,-,21474836480,1,1715655524870,1715655530000,1715655780000,255130,249629,-,675.7,2.3,6312488960,79000236032,6786228224,79530389504,3983200120,2630267290,632621,278029,0,2328186880,4598,601,/input/data/work/42/66f689647668d4d23116cccfd9e1ed,true,-
6017,2236097,hu-worker-c41,93/ed61c2,nf-93ed61c2779aa5be564529db3ea4b82e,NFCORE_MAG:MAG:PROKKA,SPAdes-MaxBin2-ERR275252.027,NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-ERR275252.027),COMPLETED,0,-,quay.io/biocontainers/prokka:1.14.6--pl526_0,2,14400000,-,12884901888,1,1715655408513,1715655661000,1715655826000,417487,164000,-,190.0,0.0,187174912,535994368,235765760,669704192,63193919496,79630019,15390196,28169,0,82665472,37212,287,/input/data/work/93/ed61c2779aa5be564529db3ea4b82e,true,-
6050,114570197256,hu-worker-c28,16/669209,nf-16669209aada770bcb7382470441c2d7,NFCORE_MAG:MAG:BUSCO_QC:BUSCO,SPAdes-MaxBin2-ERR275252.018.fa,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdes-MaxBin2-ERR275252.018.fa),COMPLETED,0,-,quay.io/biocontainers/busco:5.1.0--py_1,8,14400000,-,21474836480,1,1715655559147,1715655680000,1715655830000,270853,149896,-,625.1,1.8,3685097472,46280458240,4127870976,46723481600,2664351645,2206724193,336777,172436,0,1940353024,2801,156,/input/data/work/16/669209aada770bcb7382470441c2d7,true,-
6052,114570615588,hu-worker-c34,4a/038361,nf-4a038361444128ee79c73b3467fdd4d7,NFCORE_MAG:MAG:BUSCO_QC:BUSCO,SPAdes-MaxBin2-ERR275252.035.fa,NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdes-MaxBin2-ERR275252.035.fa),COMPLETED,0,-,quay.io/biocontainers/busco:5.1.0--py_1,8,14400000,-,21474836480,1,1715655568919,1715655673000,1715655836000,267081,162404,-,623.1,1.7,4054675456,46292226048,4589920256,46727028736,3264953522,2173392093,472367,219629,0,1893314560,2090,165,/input/data/work/4a/038361444128ee79c73b3467fdd4d7,true,-
