task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,623266,hu-worker-c34,b8/730ea8,nf-b8730ea80a1c14db5ce27c9d61c9a50c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,1200000,-,524288000,1,1715276369000,1715276371000,1715276374000,5000,1597,-,1065.0,0.0,26382336,30851072,26529792,30900224,240922744,4090107,87599,2470,1556480,5763072,406,28,/input/data/work/b8/730ea80a1c14db5ce27c9d61c9a50c,true,-
1,623266,hu-worker-c24,68/5488c8,nf-685488c8b1d818c8cbeaac37db16848e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,-,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,1200000,-,524288000,1,1715276368937,1715276375000,1715276381000,12063,3881,-,711.0,0.0,29298688,34938880,29442048,35037184,144947617,4522544,59099,2505,47742976,6451200,600,1521,/input/data/work/68/5488c8b1d818c8cbeaac37db16848e,true,-
33,3356473614,hu-worker-c24,e5/da1a86,nf-e5da1a861db14fedeca3adfcac1b9548,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900704_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900704_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715276382847,1715276383000,1715276384000,1153,212,-,49.9,0.0,3080192,4079616,3084288,4128768,476967,29065,903,35,0,49152,3,0,/input/data/work/e5/da1a861db14fedeca3adfcac1b9548,true,-
12,3329867673,hu-worker-c28,e0/ad1471,nf-e0ad1471cdb4cd271abf45626c1cb54e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19900618_20200916_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19900618_20200916_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715276383558,1715276384000,1715276385000,1442,217,-,70.7,0.0,3072000,4079616,3076096,4128768,477951,29068,903,35,0,49152,3,0,/input/data/work/e0/ad1471cdb4cd271abf45626c1cb54e,true,-
26,3372452033,hu-worker-c41,a7/f42652,nf-a7f426520cdc3df203d60c2106e75964,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19860607_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19860607_20200917_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715276384164,1715276384000,1715276385000,836,315,-,52.8,0.0,5648384,73326592,5656576,73375744,477461,29090,903,35,54124544,49152,93,4,/input/data/work/a7/f426520cdc3df203d60c2106e75964,true,-
14,3360303724,hu-worker-c24,bd/d53a8e,nf-bdd53a8ec8c18ba1b76702add03fe0ba,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19970418_20200910_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19970418_20200910_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715276384531,1715276385000,1715276386000,1469,141,-,66.9,0.0,2920448,4079616,2940928,4128768,476967,29065,903,35,0,49152,4,0,/input/data/work/bd/d53a8ec8c18ba1b76702add03fe0ba,true,-
25,3314957815,hu-worker-c28,e2/e73094,nf-e2e730946c32deee668e3c7e50d842c7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19870914_20201014_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19870914_20201014_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715276384621,1715276385000,1715276386000,1379,141,-,80.5,0.0,3022848,4079616,3026944,4128768,477951,29068,903,35,0,49152,3,0,/input/data/work/e2/e730946c32deee668e3c7e50d842c7,true,-
13,3428897593,hu-worker-c24,34/ce8ca6,nf-34ce8ca6b4f005bff455da431c9c5a34,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_20000222_20200907_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_20000222_20200907_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715276384857,1715276385000,1715276386000,1143,128,-,74.4,0.0,3076096,4079616,3080192,4128768,476966,29065,903,35,4198400,49152,3,0,/input/data/work/34/ce8ca6b4f005bff455da431c9c5a34,true,-
8,3325468937,hu-worker-c41,57/9431f2,nf-579431f2a72ef76ac581e3c7c8d5214a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980507_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980507_20200909_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715276385334,1715276386000,1715276386000,666,105,-,96.2,0.0,17154048,168214528,17162240,168263680,477435,29072,903,35,585728,49152,7,4,/input/data/work/57/9431f2a72ef76ac581e3c7c8d5214a,true,-
5,3358340034,hu-worker-c28,4a/f78208,nf-4af78208e71653fa398781e45e7a9019,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG,LT05_L1TP_183035_19980710_20200909_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:PREPROCESS_CONFIG (LT05_L1TP_183035_19980710_20200909_02_T1),COMPLETED,0,-,docker.io/davidfrantz/force:3.7.10,1,14400000,-,6442450944,1,1715276385427,1715276386000,1715276386000,573,128,-,80.2,0.0,2973696,4079616,2977792,4128768,477951,29068,903,35,4198400,49152,4,3,/input/data/work/4a/f78208e71653fa398781e45e7a9019,true,-
